"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1286","should sort products by price in ascending order","chromium","2026-04-08","passed","2026-04-08","Product sorting","inventory\sort.spec.ts","",""
"","2039","should sort products by name in ascending order","webkit","2026-04-08","passed","2026-04-08","Product sorting","inventory\sort.spec.ts","",""
"","3369","should show an error when username and password are missing","webkit","2026-04-08","passed","2026-04-08","Authentication - Login","auth\login.spec.ts","",""
"","8062","should show an error message for locked out user","webkit","2026-04-08","passed","2026-04-08","Authentication - Login","auth\login.spec.ts","",""
"","2653","should show an error when first name is missing","firefox","2026-04-08","passed","2026-04-08","Checkout Flow","shopping\checkout.spec.ts","",""
"","2448","should sort products by price in ascending order","webkit","2026-04-08","passed","2026-04-08","Product sorting","inventory\sort.spec.ts","",""
"","2769","should navigate to checkout info page from cart","firefox","2026-04-08","passed","2026-04-08","Checkout Flow","shopping\checkout.spec.ts","",""
"","3906","should show an error message for locked out user","firefox","2026-04-08","passed","2026-04-08","Authentication - Login","auth\login.spec.ts","",""
"","5222","should show an error message for locked out user","chromium","2026-04-08","passed","2026-04-08","Authentication - Login","auth\login.spec.ts","",""
"","7077","should show an error when username and password are missing","firefox","2026-04-08","passed","2026-04-08","Authentication - Login","auth\login.spec.ts","",""
"","2431","should show an error when all fields are missing","webkit","2026-04-08","passed","2026-04-08","Checkout Flow","shopping\checkout.spec.ts","",""
"","2345","should remove product from cart and verify UI consistency","firefox","2026-04-08","passed","2026-04-08","Cart Flow","shopping\cart.spec.ts","",""
"","5224","should show an error when username and password are missing","chromium","2026-04-08","passed","2026-04-08","Authentication - Login","auth\login.spec.ts","",""
"","3270","should remove product from cart and verify UI consistency","webkit","2026-04-08","passed","2026-04-08","Cart Flow","shopping\cart.spec.ts","",""
"","2918","should add the correct product to cart after sorting","webkit","2026-04-08","passed","2026-04-08","Cart Flow","shopping\cart.spec.ts","",""
"","8500","should login successfully with valid credentials","webkit","2026-04-08","passed","2026-04-08","Authentication - Login","auth\login.spec.ts","",""
"","8245","should show an error when username and password do not match","webkit","2026-04-08","passed","2026-04-08","Authentication - Login","auth\login.spec.ts","",""
"","3241","should navigate to checkout info page from cart","webkit","2026-04-08","passed","2026-04-08","Checkout Flow","shopping\checkout.spec.ts","",""
"","3971","should complete checkout successfully","webkit","2026-04-08","passed","2026-04-08","Checkout Flow","shopping\checkout.spec.ts","",""
"","1518","should show an error when last name is missing","chromium","2026-04-08","passed","2026-04-08","Checkout Flow","shopping\checkout.spec.ts","",""
"","1407","should show an error when all fields are missing","chromium","2026-04-08","passed","2026-04-08","Checkout Flow","shopping\checkout.spec.ts","",""
"","6740","should show an error when username and password do not match","firefox","2026-04-08","passed","2026-04-08","Authentication - Login","auth\login.spec.ts","",""
"","1894","should sort products by name in ascending order","firefox","2026-04-08","passed","2026-04-08","Product sorting","inventory\sort.spec.ts","",""
"","1675","should navigate to checkout info page from cart","chromium","2026-04-08","passed","2026-04-08","Checkout Flow","shopping\checkout.spec.ts","",""
"","2935","should show backpack in cart after adding it from inventory","webkit","2026-04-08","passed","2026-04-08","Cart Flow","shopping\cart.spec.ts","",""
"","2350","should sort products by name in descending order","webkit","2026-04-08","passed","2026-04-08","Product sorting","inventory\sort.spec.ts","",""
"","3725","should navigate to checkout overview after submitting checkout info","webkit","2026-04-08","passed","2026-04-08","Checkout Flow","shopping\checkout.spec.ts","",""
"","1921","should remove product from cart and verify UI consistency","chromium","2026-04-08","passed","2026-04-08","Cart Flow","shopping\cart.spec.ts","",""
"","4371","should show an error when username is missing","webkit","2026-04-08","passed","2026-04-08","Authentication - Login","auth\login.spec.ts","",""
"","2190","should add the correct product to cart after sorting","firefox","2026-04-08","passed","2026-04-08","Cart Flow","shopping\cart.spec.ts","",""
"","2017","should sort products by price in ascending order","firefox","2026-04-08","passed","2026-04-08","Product sorting","inventory\sort.spec.ts","",""
"","3469","should navigate to checkout overview after submitting checkout info","firefox","2026-04-08","passed","2026-04-08","Checkout Flow","shopping\checkout.spec.ts","",""
"","2607","should add a backpack to the cart and update cart badge","webkit","2026-04-08","passed","2026-04-08","Cart Flow","shopping\cart.spec.ts","",""
"","5383","should login successfully with valid credentials","chromium","2026-04-08","passed","2026-04-08","Authentication - Login","auth\login.spec.ts","",""
"","5841","should login successfully with valid credentials","firefox","2026-04-08","passed","2026-04-08","Authentication - Login","auth\login.spec.ts","",""
"","5220","should show an error when username is missing","chromium","2026-04-08","passed","2026-04-08","Authentication - Login","auth\login.spec.ts","",""
"","2494","should sort products by name in descending order","firefox","2026-04-08","passed","2026-04-08","Product sorting","inventory\sort.spec.ts","",""
"","3108","should show an error when postal code is missing","firefox","2026-04-08","passed","2026-04-08","Checkout Flow","shopping\checkout.spec.ts","",""
"","1525","should show an error when postal code is missing","chromium","2026-04-08","passed","2026-04-08","Checkout Flow","shopping\checkout.spec.ts","",""
"","1983","should navigate to checkout overview after submitting checkout info","chromium","2026-04-08","passed","2026-04-08","Checkout Flow","shopping\checkout.spec.ts","",""
